,clube_casa_id,clube_visitant_id,clube_casa_nome,clube_visitant_nome,placar_casa,placar_visitante,rodada
165,285,267,Internacional,Vasco,-1.0,-1.0,17
166,265,282,Bahia,Atlético-MG,-1.0,-1.0,17
167,294,277,Coritiba,Santos,-1.0,-1.0,17
168,356,275,Fortaleza,Palmeiras,-1.0,-1.0,17
169,373,293,Atlético-GO,Athlético-PR,-1.0,-1.0,17
170,266,277,Fluminense,Santos,-1.0,-1.0,18
171,267,264,Vasco,Corinthians,-1.0,-1.0,18
172,276,263,São Paulo,Botafogo,-1.0,-1.0,18
173,280,290,Bragantino,Goiás,-1.0,-1.0,18
174,282,292,Atlético-MG,Sport,-1.0,-1.0,18
175,285,262,Internacional,Flamengo,-1.0,-1.0,18
176,265,356,Bahia,Fortaleza,-1.0,-1.0,18
177,293,284,Athlético-PR,Grêmio,-1.0,-1.0,18
178,354,294,Ceará,Coritiba,-1.0,-1.0,18
179,373,275,Atlético-GO,Palmeiras,-1.0,-1.0,18
180,262,276,Flamengo,São Paulo,-1.0,-1.0,19
181,263,354,Botafogo,Ceará,-1.0,-1.0,19
182,275,282,Palmeiras,Atlético-MG,-1.0,-1.0,19
183,277,265,Santos,Bahia,-1.0,-1.0,19
184,264,285,Corinthians,Internacional,-1.0,-1.0,19
185,284,280,Grêmio,Bragantino,-1.0,-1.0,19
186,292,293,Sport,Athlético-PR,-1.0,-1.0,19
187,294,373,Coritiba,Atlético-GO,-1.0,-1.0,19
188,356,266,Fortaleza,Fluminense,-1.0,-1.0,19
189,290,267,Goiás,Vasco,-1.0,-1.0,19
190,266,284,Fluminense,Grêmio,-1.0,-1.0,20
191,267,275,Vasco,Palmeiras,-1.0,-1.0,20
192,276,290,São Paulo,Goiás,-1.0,-1.0,20
193,280,277,Bragantino,Santos,-1.0,-1.0,20
